PMID,Title,Journal,Date,Year,Still_Live,AI_Retracted
41589977,Optimized Model Predictive Controller Using Multi-Objective Whale Optimization Algorithm for Urban Rail Train Tracking Control.,Biomimetics (Basel). 2026 Jan 10;11(1):60. doi: 10.3390/biomimetics11010060.,2026 Jan 10;11(1):60,2026,1,
41589953,Research on Design and Control Method of Flexible Wing Ribs with Chordwise Variable Camber.,Biomimetics (Basel). 2026 Jan 4;11(1):36. doi: 10.3390/biomimetics11010036.,2026 Jan 4;11(1):36,2026,1,
41589940,The Advanced BioTRIZ Method Based on LTE and MPV.,Biomimetics (Basel). 2026 Jan 1;11(1):23. doi: 10.3390/biomimetics11010023.,2026 Jan 1;11(1):23,2026,1,
41589935,Bio-Inspired Reactive Approaches for Automated Guided Vehicle Path Planning: A Review.,Biomimetics (Basel). 2025 Dec 30;11(1):17. doi: 10.3390/biomimetics11010017.,2025 Dec 30;11(1):17,2025,1,
41589931,Mitigating Neural Habituation in Insect Bio-Bots: A Dual-Timescale Adaptive Control Approach.,Biomimetics (Basel). 2025 Dec 27;11(1):13. doi: 10.3390/biomimetics11010013.,2025 Dec 27;11(1):13,2025,1,
41589622,Hierarchical Feature Evaluation and Decision‑Making for In-Vehicle Augmented-Reality Head-Up Display Based on Pythagorean Hamacher Aggregation.,Ann N Y Acad Sci. 2026 Jan;1555(1):e70167. doi: 10.1111/nyas.70167.,2026 Jan;1555(1):e70167,2026,1,
41584180,"Research on the influencing factors and pathways of user health information disclosure behavior on medical and health platforms: based on PLS-SEM, NCA, and fsQCA analysis.",Front Public Health. 2026 Jan 9;13:1728302. doi: 10.3389/fpubh.2025.1728302. eCollection 2025.,2026 Jan 9;13:1728302,2026,1,
41582961,Beyond net effects: whyfuzzy-set qualitative comparative analysis is the future for modeling social media artrepreneurial success.,Front Res Metr Anal. 2026 Jan 9;10:1719638. doi: 10.3389/frma.2025.1719638. eCollection 2025.,2026 Jan 9;10:1719638,2026,1,
41582296,Unveiling the Configuration of Symptom Burden in Older Adults With Heart Failure: AFuzzy-Set Qualitative Comparative Analysis for Enhanced Healthcare Solutions.,Int J Nurs Pract. 2026 Feb;32(1):e70110. doi: 10.1111/ijn.70110.,2026 Feb;32(1):e70110,2026,1,
41581251,Fuzzyrough set loss for deep learning-based precise medical image segmentation.,Comput Med Imaging Graph. 2026 Jan 23;128:102716. doi: 10.1016/j.compmedimag.2026.102716. Online ahead of print.,2026 Jan 23;128:102716,2026,1,
41571717,Advancing sports performance evaluation through T sphericalfuzzyFUCA MCDM approach to real time basketball analytics.,Sci Rep. 2026 Jan 22;16(1):3119. doi: 10.1038/s41598-025-32934-7.,2026 Jan 22;16(1):3119,2026,1,
41569994,Multiple causal pathways of high-quality development for semiconductor enterprises in China.,PLoS One. 2026 Jan 22;21(1):e0340629. doi: 10.1371/journal.pone.0340629. eCollection 2026.,2026 Jan 22;21(1):e0340629,2026,1,
41569992,Research on self-adaptive height adjustment control of shearer based on deep deterministic policy gradient.,PLoS One. 2026 Jan 22;21(1):e0329347. doi: 10.1371/journal.pone.0329347. eCollection 2026.,2026 Jan 22;21(1):e0329347,2026,1,
