"Record ID","Title","Subject","Institution","Journal","Publisher","Country","RetractionDate","RetractionDOI","RetractionPubMedID","OriginalPaperDate","OriginalPaperDOI","OriginalPaperPubMedID","Reason","Notes","Year"
68523,"Predicted of cost parameters in construction projects using fuzzy logic inference model","(B/T) Business - Economics;(B/T) Computer Science;","Civil Engineering Department, University of Baghdad, Baghdad, Iraq;","AIP Conference Proceedings","AIP Publishing","Iraq",2025-10-24,"10.1063/5.0182242",0,"12/22/2023 0:00","10.1063/5.0182242",0,"Compromised Peer Review;Concerns/Issues about Peer Review;Concerns/Issues about Referencing/Attributions;Date of Article and/or Notice Unknown;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;","Original articles updated to include retraction notice, hence date of retraction estimated from submission to RWDB.","2025"
68494,"On fuzzy subalgebras and ideals of BZ-algebra","(PHY) Mathematics;","Department of Mathematics, Faculty of Education for Girls, University of Kufa, Najaf, Iraq;","AIP Conference Proceedings","AIP Publishing","Iraq",2025-10-24,"10.1063/5.0182054",0,"12/22/2023 0:00","10.1063/5.0182054",0,"Compromised Peer Review;Concerns/Issues about Peer Review;Concerns/Issues about Referencing/Attributions;Date of Article and/or Notice Unknown;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;","Original articles updated to include retraction notice, hence date of retraction estimated from submission to RWDB.","2025"
68426,"Fuzzy techniques in concrete powder mix designing","(B/T) Computer Science;(B/T) Data Science;(PHY) Engineering - Structural;(PHY) Materials Science;","Ministry of Education, Najaf Education Directorate, Al Najaf, Iraq; College of Technical Engineering, University of Alkafeel, Al-Najaf, Iraq;","AIP Conference Proceedings","AIP Publishing","Iraq",2025-10-24,"10.1063/5.0182064",0,"12/22/2023 0:00","10.1063/5.0182064",0,"Compromised Peer Review;Concerns/Issues about Peer Review;Concerns/Issues about Referencing/Attributions;Date of Article and/or Notice Unknown;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;","Original articles updated to include retraction notice, hence date of retraction estimated from submission to RWDB.","2025"
68425,"Fuzzy BZ-ideals of BZ-algebra","(PHY) Mathematics;","Department of Mathematics, Faculty of Education for Girls, University of Kufa, Najaf, Iraq;","AIP Conference Proceedings","AIP Publishing","Iraq",2025-10-24,"10.1063/5.0182051",0,"12/22/2023 0:00","10.1063/5.0182051",0,"Compromised Peer Review;Concerns/Issues about Peer Review;Concerns/Issues about Referencing/Attributions;Date of Article and/or Notice Unknown;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;","Original articles updated to include retraction notice, hence date of retraction estimated from submission to RWDB.","2025"
68400,"Estimating the reliability of the fuzzy cascade system for Weibull distribution using simulation","(PHY) Engineering - General;(PHY) Statistics;","Department of Statistics, College of Administration and Economics, Basrah University, Basrah, Iraq;","AIP Conference Proceedings","AIP Publishing","Iraq",2025-10-24,"10.1063/5.0182258",0,"12/22/2023 0:00","10.1063/5.0182258",0,"Concerns/Issues about Referencing/Attributions;Date of Article and/or Notice Unknown;Compromised Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;","Original articles updated to include retraction notice, hence date of retraction estimated from submission to RWDB.","2025"
68237,"Detection of Heart Abnormalities Using Fuzzy Decision Making and Wireless Transmission of Disease Information","(B/T) Computer Science;(B/T) Technology;(HSC) Medicine - Cardiovascular;","School of Electrical Engineering, Vellore Institute of Technology, Vellore, India; Cognizant Technology Solutions, Bengaluru, India;","Journal of Testing and Evaluation (JOTE)","ASTM International","India",2025-07-02,"10.1520/JTE20259998",0,"4/1/2019 0:00","10.1520/JTE20180447",0,"Concerns/Issues about Peer Review;Investigation by Journal/Publisher;",NA,"2025"
68100,"Estimation the state of power quality in distribution networks using fuzzy logic","(PHY) Engineering - Electrical;","Fergana Polytechnical Institute, house 86, Fergana Str. 150107, Fergana, Uzbekistan;","E3S Web of Conferences","EDP Sciences","Uzbekistan",2025-01-06,"10.1051/e3sconf/202453800001",0,"6/14/2024 0:00","10.1051/e3sconf/202453801011",0,"Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;",NA,"2025"
68095,"Based on T-spherical fuzzy environment: A combination of FWZIC and FDOSM for prioritising COVID-19 vaccine dose recipients","(B/T) Computer Science;(B/T) Data Science;(HSC) Medicine - Infectious Disease;(HSC) Public Health and Safety;","Department of Computing, Faculty of Arts, Computing and Creative Industry, Universiti Pendidikan Sultan Idris, Tanjung Malim 35900, Malaysia; Faculty of Computing and Innovative Technology, Geomatika University College, Kuala Lumpur, Malaysia; School of Management, Universiti Sains Malaysia, 11800 Pulau Pinang, Malaysia; Faculty of Computer Science and Information Technology, Universiti Putra Malaysia, Seri Kembangan, Malaysia; Future Technology Research Center, National Yunlin University of Science and Technology, 123 University Road, Section 3, Douliou, Yunlin 64002, Taiwan; School of Computing and Information Systems, University of Melbourne, 700 Swanston Street, Victoria 3010, Australia; College of Engineering, IT and Environment, Charles Darwin University, NT, Australia; Department of Advanced Applications and Embedded Systems, Intel Corporation, Plot 6 Bayan Lepas Technoplex, 11900 Pulau Pinang, Malaysia; Informatics Institute for Postgraduate Studies (IIPS), Iraqi Commission for Computers and Informatics (ICCI), Baghdad, Iraq;","Journal of Infection and Public Health","Elsevier","Australia;Iraq;Malaysia;Taiwan",2025-11-14,"10.1016/j.jiph.2025.103047",41240424,"10/5/2021 0:00","10.1016/j.jiph.2021.08.026",34538731,"Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Results and/or Conclusions;","see also: https://pubpeer.com/publications/0CFA26B0DB84A9A48130E115E816AE","2025"
68014,"Resolving Indeterminacy Approach to Solve Multi-Criteria Zero-Sum Matrix Games with Intuitionistic Fuzzy Goals","(B/T) Computer Science;(PHY) Mathematics;","School of Mathematics and Statistics, Central South University, Changsha 410083, China; Department of Basic Science Faculty of Computers & Informatics, Suez Canal University, Ismailia 41522, Egypt; Department of Mathematics Faculty of Science, Tanta University, Tanta 31527, Egypt;","Mathematics","MDPI","China;Egypt",2025-08-04,"10.3390/math13152502",0,"2/25/2020 0:00","10.3390/math8030305",0,"Author Unresponsive;Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Error in Methods;Error in Text;Investigation by Journal/Publisher;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Unreliable Results and/or Conclusions;","See also: https://pubpeer.com/publications/D23BDC724C21F67887CF7DEAE60DBF","2025"
67380,"Fuzzy Logic-enabled Autonomous IoT Systems for proactive maintenance in industry 4.0 digital twin scenarios","(B/T) Business - Manufacturing;(B/T) Computer Science;(B/T) Technology;","Sri Manakula Vinayagar Engineering College, Madagadipet, Puducherry, 605107, India; Dr.Kalaignar M Karunanidhi Government Institute for Post Graduate Studies and Research, Karaikal, Puducherry, India; Saveetha School of Engineering, SIMATS, Chennai, Tamil Nadu, India; Pondicherry Technological University, Pillaichavady, Puducherry, India;","Optical and Quantum Electronics","Springer - Nature Publishing Group","India",2024-11-04,"10.1007/s11082-024-07791-9",0,"1/30/2024 0:00","10.1007/s11082-023-06133-5",0,"Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;","Megala Tulasiraman, Udaya Dayanandan, Terrance Frederick Ferrnandez, Vimala Vellaichamy & Deepa Rajasekeran","2024"
